Start Time (UTC),End Time (UTC),Duration (min),Min (km),Max (km),Conjunction Type,Conjunction Between,asi_array_and_id,asi_array,asi
2021-08-17 06:40:00,2021-08-17 06:41:00,2,238,352,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-08-17 06:41:00,2021-08-17 06:41:00,1,306,306,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-08-22 06:09:00,2021-08-22 06:11:00,3,189,460,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-08-22 06:11:00,2021-08-22 06:12:00,2,177,243,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-08-22 06:14:00,2021-08-22 06:15:00,2,211,353,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2021-08-22 06:15:00,2021-08-22 06:17:00,3,64,485,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-08-24 06:22:00,2021-08-24 06:24:00,3,62,456,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2021-08-24 06:24:00,2021-08-24 06:25:00,2,286,295,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-08-24 06:25:00,2021-08-24 06:26:00,2,316,459,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-08-25 05:42:00,2021-08-25 05:43:00,2,447,453,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-08-31 06:05:00,2021-08-31 06:07:00,3,85,497,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2021-08-31 06:06:00,2021-08-31 06:07:00,2,224,244,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-08-31 06:07:00,2021-08-31 06:08:00,2,208,377,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-08-31 06:08:00,2021-08-31 06:09:00,2,372,393,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-08-31 06:08:00,2021-08-31 06:09:00,2,248,460,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-08-31 06:08:00,2021-08-31 06:09:00,2,286,406,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-09-01 05:25:00,2021-09-01 05:26:00,2,449,482,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-09-01 05:26:00,2021-09-01 05:27:00,2,379,441,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-09-07 05:48:00,2021-09-07 05:49:00,2,130,290,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
